"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SANIMA","2021-11-09","397.1","399","385","390","-2.50 %","113,804.00"
"SANIMA","2021-11-08","406","406","400","400","-1.19 %","56,228.00"
"SANIMA","2021-11-03","410","410","404.8","404.8","-0.78 %","63,025.00"
"SANIMA","2021-11-02","412","412","405","408","0.49 %","38,314.00"
"SANIMA","2021-11-01","413","413","405","406","0.25 %","90,725.00"
"SANIMA","2021-10-31","405","408","402","405","0.37 %","142,919.00"
"SANIMA","2021-10-28","410","414","403","403.5","-1.10 %","86,887.00"
"SANIMA","2021-10-27","405","412","398","408","1.34 %","108,666.00"
"SANIMA","2021-10-26","410","410","401","402.6","-0.10 %","117,960.00"
"SANIMA","2021-10-25","402","405.9","395","403","0.25 %","104,486.00"
"SANIMA","2021-10-24","418","418","394","402","-3.78 %","143,104.00"
"SANIMA","2021-10-21","500","500","487","488.8","-1.03 %","550,763.00"
"SANIMA","2021-10-20","498","504","490","493.9","0.80 %","106,955.00"
"SANIMA","2021-10-19","500","500","480.2","490","-1.80 %","151,621.00"
"SANIMA","2021-10-18","510","510","496","499","-2.16 %","195,487.00"
"SANIMA","2021-10-17","522","522","503","510","-0.39 %","106,071.00"
"SANIMA","2021-10-11","519","520","504","512","0.00 %","196,559.00"
"SANIMA","2021-10-10","519","519","509","512","0.59 %","154,944.00"
"SANIMA","2021-10-06","509.5","514.7","502.1","509","1.60 %","81,944.00"
"SANIMA","2021-10-05","506","506","497.6","501","0.60 %","107,730.00"
"SANIMA","2021-10-04","500","505","488","498","0.00 %","90,673.00"
"SANIMA","2021-10-03","504","506","496.5","498","-1.19 %","122,633.00"
"SANIMA","2021-09-30","520.2","520.2","500","504","-1.18 %","102,748.00"
"SANIMA","2021-09-29","508.9","511","494","510","2.20 %","121,614.00"
"SANIMA","2021-09-28","499","510","492","499","-1.58 %","182,729.00"
"SANIMA","2021-09-27","518","518","500.8","507","-2.12 %","159,371.00"
"SANIMA","2021-09-26","529.9","532","515","518","-1.97 %","302,896.00"
"SANIMA","2021-09-23","520.2","549","520.2","528.4","3.61 %","638,916.00"
"SANIMA","2021-09-22","479","510","478.1","510","8.51 %","245,062.00"
"SANIMA","2021-09-21","469","484","455","470","0.30 %","120,962.00"
"SANIMA","2021-09-20","481","489","468.6","468.6","-2.64 %","172,577.00"
"SANIMA","2021-09-16","495","495","480.6","481.3","-3.16 %","135,986.00"
"SANIMA","2021-09-15","500","502","493","497","-1.00 %","79,000.00"
"SANIMA","2021-09-14","507","511.9","501","502","-0.97 %","90,104.00"
"SANIMA","2021-09-13","510","512","500","506.9","0.58 %","84,252.00"
"SANIMA","2021-09-12","500.8","505","489","504","2.65 %","100,465.00"
"SANIMA","2021-09-09","494","499","486","491","0.14 %","106,852.00"
"SANIMA","2021-09-08","507.9","507.9","485","490.3","-1.55 %","113,583.00"
"SANIMA","2021-09-07","515","517","495.4","498","-2.54 %","130,062.00"
"SANIMA","2021-09-06","490","517","481","511","4.29 %","163,012.00"
"SANIMA","2021-09-05","498","505","480","490","-1.61 %","234,517.00"
"SANIMA","2021-09-02","516.1","516.1","494.1","498","-1.58 %","146,789.00"
"SANIMA","2021-09-01","516","516","498","506","-0.20 %","202,887.00"
"SANIMA","2021-08-31","518","518","503.1","507","-2.12 %","187,793.00"
"SANIMA","2021-08-29","525","533","514","518","-0.77 %","203,354.00"
"SANIMA","2021-08-26","522","527","518","522","-0.55 %","112,130.00"
"SANIMA","2021-08-25","530","530","521","524.9","-0.96 %","91,720.00"
"SANIMA","2021-08-24","538.5","546","525","530","-1.03 %","174,989.00"
"SANIMA","2021-08-19","540","545","534.1","535.5","-0.46 %","99,845.00"
"SANIMA","2021-08-18","540","546","525","538","0.58 %","174,754.00"
"SANIMA","2021-08-17","540","540","530","534.9","-0.94 %","157,313.00"
"SANIMA","2021-08-16","551.9","552","537.2","540","-0.37 %","120,528.00"
"SANIMA","2021-08-15","547.6","555","537.5","542","-1.02 %","228,190.00"
"SANIMA","2021-08-12","546.8","553.8","537","547.6","0.15 %","123,043.00"
